"Date","#1","#2","#3","#4","#5","#6","#7","S1","S2"
"20/03/18","4","8","11","13","16","32","34","20","29"
"13/03/18","5","18","23","25","29","35","39","15","21"
"06/03/18","5","18","30","34","37","38","41","11","28"
"27/02/18","2","16","25","29","31","33","39","36","42"
"20/02/18","1","2","5","11","15","29","35","21","31"
"13/02/18","2","3","26","35","37","40","42","32","36"
"06/02/18","6","11","22","35","40","41","43","21","45"
"30/01/18","2","5","12","24","31","40","45","16","30"
"23/01/18","16","21","25","28","31","33","44","1","35"
"16/01/18","4","7","9","23","26","30","37","5","38"
"09/01/18","1","8","9","26","40","43","45","27","34"
"02/01/18","1","8","12","26","28","30","43","7","11"
"26/12/17","2","7","9","30","37","41","45","23","33"
"19/12/17","5","18","26","34","35","37","44","1","36"
"12/12/17","3","4","6","7","31","35","43","2","5"
"05/12/17","4","9","22","26","28","34","45","15","43"
"28/11/17","3","7","9","16","19","28","35","1","10"
"21/11/17","14","15","16","23","26","33","45","5","24"
"14/11/17","1","3","5","15","16","25","30","12","40"
"07/11/17","4","12","13","26","30","37","45","10","17"
"31/10/17","6","21","23","30","32","42","44","9","29"
"24/10/17","9","15","22","31","35","40","44","32","36"
"17/10/17","7","23","32","38","39","40","41","19","35"
"10/10/17","7","12","17","20","28","31","42","1","25"
"03/10/17","7","9","14","26","30","36","43","38","41"
"26/09/17","6","8","13","14","33","41","45","15","42"
"19/09/17","6","14","15","29","31","37","42","30","45"
"12/09/17","1","12","20","24","41","44","45","6","38"
"05/09/17","4","8","16","27","28","35","45","22","34"
"29/08/17","8","21","22","23","24","36","44","4","37"
"22/08/17","7","12","14","16","40","41","43","37","38"
"15/08/17","4","8","13","17","25","33","43","15","23"
"08/08/17","6","15","21","25","40","43","45","19","26"
"01/08/17","3","9","13","16","37","41","43","11","26"
"25/07/17","1","4","6","15","22","29","39","7","14"
"18/07/17","2","7","19","21","23","29","45","37","43"
"11/07/17","4","22","30","36","37","39","40","14","35"
"04/07/17","7","18","28","33","35","37","43","19","21"
"27/06/17","3","6","8","22","26","40","41","27","32"
"20/06/17","13","16","17","21","23","25","28","2","34"
"13/06/17","2","4","9","10","13","14","43","12","45"
"06/06/17","10","11","15","19","23","30","34","2","26"
"30/05/17","1","4","13","19","26","31","35","25","37"
"23/05/17","2","4","12","17","20","22","38","16","35"
"16/05/17","9","14","21","22","27","41","43","4","8"
"09/05/17","1","3","15","16","20","33","45","12","39"
"02/05/17","2","9","17","19","22","28","38","33","41"
"25/04/17","11","27","28","37","41","43","45","4","31"
"18/04/17","13","27","29","33","39","42","44","15","31"
"11/04/17","1","21","23","25","28","38","45","2","33"
"04/04/17","1","6","8","23","33","36","45","27","43"
"28/03/17","12","22","23","37","39","41","45","18","20"
"21/03/17","6","15","25","27","31","33","44","19","26"
"14/03/17","2","6","10","14","25","28","31","8","33"
"07/03/17","4","6","17","18","21","33","37","1","8"
"28/02/17","2","17","26","27","33","37","42","4","44"
"21/02/17","5","9","19","28","31","41","45","1","37"
"14/02/17","1","7","9","30","38","39","45","14","28"
"07/02/17","4","8","20","29","32","37","40","7","17"
"31/01/17","3","8","18","20","24","30","38","21","44"
"24/01/17","17","20","24","27","31","34","43","6","29"
"17/01/17","2","7","21","22","31","37","39","1","40"
"10/01/17","2","12","17","18","34","41","43","16","22"
"03/01/17","1","12","15","17","23","24","27","29","41"
"27/12/16","7","25","27","28","33","34","35","38","41"
"20/12/16","14","16","25","26","29","36","45","3","7"
"13/12/16","17","20","31","34","37","39","44","24","29"
"06/12/16","15","17","30","34","35","43","45","14","23"
"29/11/16","12","22","28","31","32","35","42","1","39"
"22/11/16","11","17","30","31","32","43","45","7","10"
"15/11/16","7","11","15","16","18","26","27","21","30"
"08/11/16","2","5","7","13","22","36","42","18","23"
"01/11/16","6","9","17","22","27","41","43","8","36"
"25/10/16","5","8","20","33","34","36","37","17","40"
"18/10/16","3","6","9","13","23","37","43","32","38"
"11/10/16","3","8","18","21","25","27","38","23","35"
"04/10/16","3","4","10","12","14","28","41","5","32"
"27/09/16","3","13","21","26","32","36","45","14","31"
"20/09/16","4","12","27","31","33","34","39","20","36"
"13/09/16","1","3","19","29","30","42","44","23","28"
"06/09/16","8","16","27","29","37","39","44","38","43"
"30/08/16","9","12","16","22","27","33","43","15","31"
"23/08/16","1","5","15","21","32","36","45","9","31"
"16/08/16","9","11","20","24","27","36","44","10","31"
"09/08/16","2","11","13","18","26","33","41","6","34"
"02/08/16","1","7","8","27","31","33","45","2","41"
"26/07/16","1","4","11","22","30","31","38","25","26"
"19/07/16","4","7","22","32","34","41","45","23","36"
"12/07/16","1","11","19","24","28","29","39","37","38"
"05/07/16","2","9","14","31","37","41","43","1","17"
"28/06/16","11","13","16","19","24","32","44","26","38"
"21/06/16","2","5","16","28","36","42","44","22","25"
"14/06/16","18","20","22","25","29","44","45","36","40"
"07/06/16","6","8","14","16","22","29","34","19","38"
"31/05/16","6","9","15","21","23","33","44","1","29"
"24/05/16","4","5","11","22","25","32","38","20","40"
"17/05/16","5","10","18","21","24","42","44","3","35"
"10/05/16","20","21","22","26","27","36","44","25","32"
"03/05/16","9","11","18","20","30","33","42","2","27"
"26/04/16","1","5","6","15","19","41","45","3","20"
"19/04/16","5","22","25","29","33","40","42","21","39"
"12/04/16","18","23","31","35","39","42","43","5","37"
"05/04/16","2","3","15","17","28","37","44","4","18"
"29/03/16","3","9","12","26","33","38","39","23","44"
"22/03/16","1","9","17","19","32","37","38","22","41"
"15/03/16","2","8","12","13","32","37","38","11","23"
"08/03/16","1","9","21","24","35","44","45","6","10"
"01/03/16","3","5","20","27","30","32","41","15","40"
"23/02/16","1","5","18","21","22","36","39","7","38"
"16/02/16","13","15","22","28","33","37","45","21","27"
"09/02/16","6","11","22","30","35","37","40","9","16"
"02/02/16","2","5","7","9","19","22","44","28","36"
"26/01/16","5","13","23","24","26","35","41","9","34"
"19/01/16","1","10","12","13","25","31","34","15","38"
"12/01/16","9","10","17","24","34","35","43","8","33"
"05/01/16","18","19","25","31","33","37","43","13","34"
"29/12/15","4","9","16","28","35","37","43","3","20"
"22/12/15","10","20","26","27","29","34","44","2","19"
"15/12/15","4","6","8","20","33","37","44","1","2"
"08/12/15","8","11","14","19","30","36","40","5","16"
"01/12/15","5","7","8","13","14","15","29","27","28"
"24/11/15","1","9","12","22","24","25","30","6","39"
"17/11/15","5","16","19","26","29","32","39","1","4"
"10/11/15","20","22","23","25","33","34","36","13","21"
"03/11/15","5","19","30","31","32","37","40","24","44"
"27/10/15","3","5","10","11","18","30","44","31","42"
"20/10/15","9","10","11","21","35","43","45","40","41"
"13/10/15","28","29","32","34","36","37","41","9","30"
"06/10/15","2","7","13","21","26","36","42","29","40"
"29/09/15","1","3","10","12","26","34","42","4","20"
"22/09/15","21","23","27","35","37","42","44","28","32"
"15/09/15","1","2","13","19","29","33","43","9","31"
"08/09/15","4","9","13","21","24","37","38","28","34"
"01/09/15","13","18","22","24","25","43","45","12","35"
"25/08/15","15","18","19","21","25","34","45","1","30"
"18/08/15","3","6","7","25","29","32","42","2","22"
"11/08/15","1","4","9","11","15","32","37","34","44"
"04/08/15","8","9","14","19","40","41","44","4","18"
"28/07/15","14","18","20","25","33","36","38","6","19"
"21/07/15","3","13","20","21","26","30","33","17","37"
"14/07/15","2","15","30","33","34","38","44","8","20"
"07/07/15","1","11","17","19","23","27","36","40","45"
"30/06/15","2","10","11","13","22","29","33","8","9"
"23/06/15","2","5","9","19","27","36","45","7","41"
"16/06/15","4","7","8","17","20","30","40","28","45"
"09/06/15","5","7","10","14","15","21","32","16","31"
"02/06/15","2","17","18","21","30","33","37","32","43"
"26/05/15","9","26","32","39","40","42","44","4","11"
"19/05/15","2","4","6","14","16","25","27","21","45"
"12/05/15","13","24","27","28","30","33","43","4","25"
"05/05/15","2","17","18","21","29","37","45","11","38"
"28/04/15","2","29","30","34","35","41","45","3","19"
"21/04/15","2","8","10","25","28","33","37","1","41"
"14/04/15","2","3","12","24","33","42","45","6","19"
"07/04/15","10","11","14","22","26","36","42","34","45"
"31/03/15","3","4","16","17","29","32","44","33","34"
"24/03/15","4","11","16","24","28","33","45","41","44"
"17/03/15","4","5","14","15","16","29","42","10","36"
"10/03/15","3","5","22","25","27","36","45","41","44"
"03/03/15","5","19","20","23","26","31","43","21","35"
